English Text,Screen/Context,Notes
Statistics,Homepage Screen (Home & Navigation); Statistics Card Widget (Home & Navigation),"Text Widget, Likely button label - keep concise"
Today,Homepage Screen (Home & Navigation); Statistics Charts Controller (Home & Navigation); Homepage Data Service (Home & Navigation),"String Literal, Likely button label - keep concise"
Yesterday,Homepage Screen (Home & Navigation); Statistics Charts Controller (Home & Navigation); Homepage Data Service (Home & Navigation),"String Literal, Likely button label - keep concise"
Last 7 days,Homepage Screen (Home & Navigation); Statistics Charts Controller (Home & Navigation); Homepage Data Service (Home & Navigation),"String Literal, Likely button label - keep concise"
Last 30 days,Homepage Screen (Home & Navigation); Statistics Charts Controller (Home & Navigation); Homepage Data Service (Home & Navigation),"String Literal, Likely button label - keep concise"
Last 60 days,Homepage Screen (Home & Navigation); Statistics Charts Controller (Home & Navigation); Homepage Data Service (Home & Navigation),"String Literal, Likely button label - keep concise"
Last 90 days,Homepage Screen (Home & Navigation); Statistics Charts Controller (Home & Navigation); Homepage Data Service (Home & Navigation),"String Literal, Likely button label - keep concise"
All time,Homepage Screen (Home & Navigation); Statistics Charts Controller (Home & Navigation); Homepage Data Service (Home & Navigation),"String Literal, Likely button label - keep concise"
🚀 HomepageScreen: Starting core initialization...,Homepage Screen (Home & Navigation),String Literal
✅ HomepageScreen: Core initialization complete,Homepage Screen (Home & Navigation),"String Literal, Success message"
❌ HomepageScreen: Error during core initialization: $e,Homepage Screen (Home & Navigation),"String Literal, Contains variable placeholder, Error message"
✅ HomepageScreen: Secondary data loaded successfully,Homepage Screen (Home & Navigation),"String Literal, Success message"
❌ HomepageScreen: Error loading secondary data: $e,Homepage Screen (Home & Navigation),"String Literal, Contains variable placeholder, Error message"
s steps for fallback (when,Homepage Screen (Home & Navigation),String Literal
assets/icons/distance_icon.svg,Homepage Screen (Home & Navigation); Statistics Card Widget (Home & Navigation); Overall Stats Card Widget (Home & Navigation),"String Literal, Likely button label - keep concise"
Heart Rate,Homepage Screen (Home & Navigation); Rotating Health Metric Widget (Home & Navigation),"String Literal, Likely button label - keep concise"
assets/icons/heart_rate.svg,Homepage Screen (Home & Navigation); Rotating Health Metric Widget (Home & Navigation),"String Literal, Likely button label - keep concise"
Time,Homepage Screen (Home & Navigation); Statistics Charts Controller (Home & Navigation); Statistics Charts Widget (Home & Navigation); Statistics Card Widget (Home & Navigation),"String Literal, Likely button label - keep concise"
assets/icons/timer_icon.svg,Homepage Screen (Home & Navigation); Statistics Card Widget (Home & Navigation); Overall Stats Card Widget (Home & Navigation),"String Literal, Likely button label - keep concise"
Calories,Homepage Screen (Home & Navigation); Statistics Charts Controller (Home & Navigation); Homepage Data Service (Home & Navigation); Flippable Statistics Card (Home & Navigation); Statistics Charts Widget (Home & Navigation); Statistics Card Widget (Home & Navigation),"String Literal, Likely button label - keep concise"
