English Text,Screen/Context,Notes
Test Cloud Functions Notifications,Notification Test Screen (Common/Shared),Text Widget
User Info,Notification Test Screen (Common/Shared),"Text Widget, Likely button label - keep concise"
User ID: ${_userId ??,Notification Test Screen (Common/Shared),"Text Widget, Contains variable placeholder, Question"
FCM Token: ${_fcmToken != null ?,Notification Test Screen (Common/Shared),"Text Widget, Contains variable placeholder, Question"
Quick Test,Notification Test Screen (Common/Shared),"Text Widget, Likely button label - keep concise"
Test Cloud Functions notification to your device:,Notification Test Screen (Common/Shared),Text Widget
Custom Notification,Notification Test Screen (Common/Shared),"Text Widget, Likely button label - keep concise"
Create and send a custom notification:,Notification Test Screen (Common/Shared),Text Widget
Last Result,Notification Test Screen (Common/Shared),"Text Widget, Likely button label - keep concise"
Testing Instructions,Notification Test Screen (Common/Shared),"Text Widget, Likely button label - keep concise"
1. Make sure you are logged in,Notification Test Screen (Common/Shared),Text Widget
2. Verify FCM token is displayed above,Notification Test Screen (Common/Shared),Text Widget
3. Click,Notification Test Screen (Common/Shared),"Text Widget, Likely button label - keep concise"
4. Or enter custom title/body and send,Notification Test Screen (Common/Shared),Text Widget
5. Check your device for the notification,Notification Test Screen (Common/Shared),Text Widget
6. Notification should appear even in foreground,Notification Test Screen (Common/Shared),Text Widget
Notification Title,Notification Test Screen (Common/Shared),Form Input
Notification Body,Notification Test Screen (Common/Shared),Form Input
message,Notification Test Screen (Common/Shared); Notification Controller (Common/Shared); Notification Repository (Common/Shared); Race Service (Common/Shared); Unified Notification Service (Common/Shared); Race Repository (Common/Shared),"String Literal, Likely button label - keep concise"
; }); Get.snackbar(,Notification Test Screen (Common/Shared),"String Literal, Likely button label - keep concise"
": _userId,",Notification Test Screen (Common/Shared),"String Literal, Likely button label - keep concise"
✅ Success: ${result.data[,Notification Test Screen (Common/Shared),"String Literal, Contains variable placeholder, Likely button label - keep concise, Success message"
]} Message ID: ${result.data[,Notification Test Screen (Common/Shared),"String Literal, Contains variable placeholder"
"), backgroundColor: Colors.blueAccent, ), body: SingleChildScrollView( padding: const EdgeInsets.all(16), child: Column( crossAxisAlignment: CrossAxisAlignment.stretch, children: [ // User Info Card Card( color: Colors.blue.shade50, child: Padding( padding: const EdgeInsets.all(16), child: Column( crossAxisAlignment: CrossAxisAlignment.start, children: [ const Text(",Notification Test Screen (Common/Shared),String Literal
", style: TextStyle( fontSize: 18, fontWeight: FontWeight.bold, ), ), const SizedBox(height: 12), Text(",Notification Test Screen (Common/Shared),String Literal
Not logged in,Notification Test Screen (Common/Shared),"String Literal, Likely button label - keep concise"
"), const SizedBox(height: 8), Row( children: [ Expanded( child: Text(",Notification Test Screen (Common/Shared),String Literal
Not available,Notification Test Screen (Common/Shared),"String Literal, Likely button label - keep concise"
", ), ], ), ], ), ), ), const SizedBox(height: 24), // Quick Test Section const Text(",Notification Test Screen (Common/Shared),String Literal
", style: TextStyle( fontSize: 20, fontWeight: FontWeight.bold, ), ), const SizedBox(height: 12), const Text(",Notification Test Screen (Common/Shared),String Literal
"), style: ElevatedButton.styleFrom( backgroundColor: Colors.blueAccent, foregroundColor: Colors.white, padding: const EdgeInsets.all(16), ), ), const SizedBox(height: 32), // Custom Notification Section const Text(",Notification Test Screen (Common/Shared),String Literal
"), style: ElevatedButton.styleFrom( backgroundColor: Colors.green, foregroundColor: Colors.white, padding: const EdgeInsets.all(16), ), ), const SizedBox(height: 32), // Result Section if (_lastResult.isNotEmpty) ...[ const Text(",Notification Test Screen (Common/Shared),String Literal
", style: TextStyle( fontSize: 20, fontWeight: FontWeight.bold, ), ), const SizedBox(height: 12), Container( padding: const EdgeInsets.all(16), decoration: BoxDecoration( color: _lastResult.startsWith(",Notification Test Screen (Common/Shared),String Literal
") ? Colors.green.shade50 : Colors.red.shade50, borderRadius: BorderRadius.circular(8), border: Border.all( color: _lastResult.startsWith(",Notification Test Screen (Common/Shared),String Literal
") ? Colors.green.shade900 : Colors.red.shade900, ), ), ), ], const SizedBox(height: 32), // Instructions Card( color: Colors.orange.shade50, child: Padding( padding: const EdgeInsets.all(16), child: Column( crossAxisAlignment: CrossAxisAlignment.start, children: [ Row( children: [ Icon(Icons.info_outline, color: Colors.orange.shade700), const SizedBox(width: 8), const Text(",Notification Test Screen (Common/Shared),String Literal
", style: TextStyle( fontSize: 18, fontWeight: FontWeight.bold, ), ), ], ), const SizedBox(height: 12), const Text(",Notification Test Screen (Common/Shared),String Literal
"), const SizedBox(height: 8), const Text(",Notification Test Screen (Common/Shared),String Literal
Send Test Notification,Notification Test Screen (Common/Shared),"String Literal, Likely button label - keep concise"
Marathon,Marathon Screen (Common/Shared); Races List Controller (Common/Shared); Race Service (Common/Shared); Guest Utils (Common/Shared),"Text Widget, Likely button label - keep concise"
Take on long-distance endurance challenges. Test your limits with epic marathon events and achieve legendary status!,Marathon Screen (Common/Shared),Text Widget
Browse Marathon Races,Marathon Screen (Common/Shared),"Text Widget, Likely button label - keep concise"
Endurance Tests,Marathon Screen (Common/Shared),"String Literal, Likely button label - keep concise"
Long-distance challenges,Marathon Screen (Common/Shared),"String Literal, Likely button label - keep concise"
Achievement Badges,Marathon Screen (Common/Shared),"String Literal, Likely button label - keep concise"
Earn marathon medals,Marathon Screen (Common/Shared),"String Literal, Likely button label - keep concise"
Progress Tracking,Marathon Screen (Common/Shared),"String Literal, Likely button label - keep concise"
Monitor your stamina gains,Marathon Screen (Common/Shared),String Literal
dart:math,Place Picker Screen (Common/Shared); Custom Progress Indicator (Common/Shared); Race Bot Service (Common/Shared); Admin Race Service (Common/Shared); Step Tracking Service (Common/Shared); Local Notification Service (Common/Shared); Independent Pedometer Service (Common/Shared); Geohash Utils (Common/Shared),"String Literal, Likely button label - keep concise"
Search for starting location...,Place Picker Screen (Common/Shared),String Literal
Search for ending location...,Place Picker Screen (Common/Shared),String Literal
Confirm Location,Place Picker Screen (Common/Shared),"String Literal, Likely button label - keep concise"
Error,Place Picker Screen (Common/Shared); Race Invites Widget (Common/Shared); Notification Controller (Common/Shared); Races List Controller (Common/Shared); Local Notification Service (Common/Shared); Snackbar Utils (Common/Shared),"String Literal, Likely button label - keep concise, Error message"
Invalid location selected. Please try again.,Place Picker Screen (Common/Shared),"String Literal, Error message"
Clear selected,Notification List Screen (Common/Shared),"Text Widget, Likely button label - keep concise"
Clear all,Notification List Screen (Common/Shared); Unified Notification Test (Common/Shared),"Text Widget, Likely button label - keep concise"
Clear,Notification List Screen (Common/Shared),"Text Widget, Likely button label - keep concise"
Mark all as read,Notification List Screen (Common/Shared),Text Widget
All,Notification List Screen (Common/Shared); Notification Controller (Common/Shared); Races List Controller (Common/Shared); Race Service (Common/Shared),Form Input
Unread,Notification List Screen (Common/Shared); Notification Controller (Common/Shared),Form Input
Notifications,Notification List Screen (Common/Shared); Notification Repository (Common/Shared); Guest Utils (Common/Shared),"String Literal, Likely button label - keep concise"
distance,Notification List Screen (Common/Shared); Race Card Widget (Common/Shared); Race Bot Service (Common/Shared); Static Notifications Service (Common/Shared); Race Service (Common/Shared); Sinalr Firebase Method (Common/Shared); Notification Helpers (Common/Shared); Race Data Migration (Common/Shared),"String Literal, Likely button label - keep concise"
${metadata[,Notification List Screen (Common/Shared),"String Literal, Contains variable placeholder, Likely button label - keep concise"
]}km,Notification List Screen (Common/Shared),"String Literal, Likely button label - keep concise"
participants,Notification List Screen (Common/Shared); Race Card Widget (Common/Shared); Completed Races Controller (Common/Shared); Races List Controller (Common/Shared); Race Bot Service (Common/Shared); Firebase Service (Common/Shared); Static Notifications Service (Common/Shared); Admin Dashboard Service (Common/Shared); Race Service (Common/Shared); Sinalr Firebase Method (Common/Shared); Race State Machine (Common/Shared); Race Step Sync Service (Common/Shared); Race Repository (Common/Shared); Race Data Migration (Common/Shared),"String Literal, Likely button label - keep concise"
]} participants,Notification List Screen (Common/Shared),"String Literal, Likely button label - keep concise"
rank,Notification List Screen (Common/Shared); Race Service (Common/Shared); Sinalr Firebase Method (Common/Shared); Race Repository (Common/Shared); Notification Helpers (Common/Shared); Race Data Migration (Common/Shared),"String Literal, Likely button label - keep concise"
Rank #${metadata[,Notification List Screen (Common/Shared),"String Literal, Contains variable placeholder, Likely button label - keep concise"
", Icons.emoji_events)); } if (metadata[",Notification List Screen (Common/Shared),String Literal
", Icons.star)); } break; case",Notification List Screen (Common/Shared),String Literal
: if (metadata[,Notification List Screen (Common/Shared),"String Literal, Likely button label - keep concise"
", Icons.trending_up)); } break; case",Notification List Screen (Common/Shared),String Literal
", Icons.people)); } break; case",Notification List Screen (Common/Shared),String Literal
: case,Notification List Screen (Common/Shared); Notification Controller (Common/Shared); Admin Analytics Service (Common/Shared),"String Literal, Likely button label - keep concise"
: return Colors.blue.withOpacity(0.1); case,Notification List Screen (Common/Shared),String Literal
: return Colors.amber.withOpacity(0.1); case,Notification List Screen (Common/Shared),String Literal
: return Colors.orange.withOpacity(0.1); case,Notification List Screen (Common/Shared),String Literal
: return Colors.purple.withOpacity(0.1); case,Notification List Screen (Common/Shared),String Literal
: return Colors.red.withOpacity(0.1); case,Notification List Screen (Common/Shared),String Literal
: return Colors.green.withOpacity(0.1); case,Notification List Screen (Common/Shared),String Literal
: return Colors.blue; case,Notification List Screen (Common/Shared),String Literal
: return Colors.amber.shade700; case,Notification List Screen (Common/Shared),String Literal
: return Colors.orange; case,Notification List Screen (Common/Shared),String Literal
: return Colors.purple; case,Notification List Screen (Common/Shared),String Literal
: return Colors.red; case,Notification List Screen (Common/Shared),String Literal
: return Colors.green; case,Notification List Screen (Common/Shared),String Literal
assets/background/Splash Screen-2.png,Splash Screen (Common/Shared),"String Literal, Likely button label - keep concise"
Race Invites,Race Invites Widget (Common/Shared); Static Notifications Service (Common/Shared),"Text Widget, Likely button label - keep concise"
View All,Race Invites Widget (Common/Shared),"Text Widget, Likely button label - keep concise"
${invite.fromUserName} invited you,Race Invites Widget (Common/Shared),"Text Widget, Contains variable placeholder, Likely button label - keep concise"
Accept,Race Invites Widget (Common/Shared),"Text Widget, Likely button label - keep concise"
Decline,Race Invites Widget (Common/Shared),"Text Widget, Likely button label - keep concise"
🏠 Home pending invite $i: ${pendingInvites[i].raceTitle} from ${pendingInvites[i].fromUserName},Race Invites Widget (Common/Shared),"String Literal, Contains variable placeholder"
tapped,Race Invites Widget (Common/Shared),"String Literal, Likely button label - keep concise"
Success!,Race Invites Widget (Common/Shared),"String Literal, Likely button label - keep concise, Success message"
Race invite accepted successfully,Race Invites Widget (Common/Shared),"String Literal, Success message"
Failed to accept invite,Race Invites Widget (Common/Shared),"String Literal, Error message"
An error occurred,Race Invites Widget (Common/Shared),"String Literal, Likely button label - keep concise, Error message"
Declined,Race Invites Widget (Common/Shared),"String Literal, Likely button label - keep concise"
Race invite declined,Race Invites Widget (Common/Shared),"String Literal, Likely button label - keep concise"
Failed to decline invite,Race Invites Widget (Common/Shared),"String Literal, Error message"
Enter your Number,Mobile Input Field (Common/Shared),Form Input
Test Pedometer,Test Pedometer Widget (Common/Shared),"Text Widget, Likely button label - keep concise"
Refresh,Test Pedometer Widget (Common/Shared),"Text Widget, Likely button label - keep concise"
$label:,Test Pedometer Widget (Common/Shared),"Text Widget, Contains variable placeholder, Likely button label - keep concise"
", _steps =",Test Pedometer Widget (Common/Shared),"String Literal, Likely button label - keep concise"
Avg Speed,Race Card Widget (Common/Shared),Form Input
Calories,Race Card Widget (Common/Shared); Race Bot Service (Common/Shared); Race Invite Service (Common/Shared); Static Notifications Service (Common/Shared); Race Service (Common/Shared),Form Input
My Rank,Race Card Widget (Common/Shared),Form Input
Remaining,Race Card Widget (Common/Shared),Form Input
Final Rank,Race Card Widget (Common/Shared),Form Input
