English Text,Screen/Context,Notes
Unlock $featureName,Guest Upgrade Dialog (Dialogs & Popups),"Text Widget, Contains variable placeholder, Likely button label - keep concise"
Create a free account to unlock:,Guest Upgrade Dialog (Dialogs & Popups),Text Widget
Your progress will be saved!,Guest Upgrade Dialog (Dialogs & Popups),Text Widget
Maybe Later,Guest Upgrade Dialog (Dialogs & Popups); Premium Purchase Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
Sign Up Free,Guest Upgrade Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
🏆 Global Leaderboard Rankings,Guest Upgrade Dialog (Dialogs & Popups),String Literal
💬 Chat with Friends,Guest Upgrade Dialog (Dialogs & Popups),String Literal
🏁 Create Custom Races,Guest Upgrade Dialog (Dialogs & Popups),String Literal
📨 Send & Receive Race Invites,Guest Upgrade Dialog (Dialogs & Popups),String Literal
🎖️ Achievements & Badges,Guest Upgrade Dialog (Dialogs & Popups),String Literal
🔔 Real-time Notifications,Guest Upgrade Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Returning to home...,Race Completion Celebration Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
Your Performance,Race Completion Celebration Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
YOU FINISHED 1ST PLACE!,Race Completion Celebration Dialog (Dialogs & Popups),Text Widget
Distance,Race Completion Celebration Dialog (Dialogs & Popups); Race Summary Dialog (Dialogs & Popups),Form Input
Calories,Race Completion Celebration Dialog (Dialogs & Popups),Form Input
Avg Speed,Race Completion Celebration Dialog (Dialogs & Popups),Form Input
; backgroundColor = Color(0xFFFFD700); // Gold break; case 2: emoji =,Race Completion Celebration Dialog (Dialogs & Popups),String Literal
; backgroundColor = Color(0xFFC0C0C0); // Silver break; case 3: emoji =,Race Completion Celebration Dialog (Dialogs & Popups),String Literal
; backgroundColor = Color(0xFFCD7F32); // Bronze break; default: emoji =,Race Completion Celebration Dialog (Dialogs & Popups),String Literal
", value:",Race Completion Celebration Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
; case 2: return,Race Completion Celebration Dialog (Dialogs & Popups),String Literal
; case 3: return,Race Completion Celebration Dialog (Dialogs & Popups),String Literal
; default: return,Race Completion Celebration Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
; } switch (number % 10) { case 1: return,Race Completion Celebration Dialog (Dialogs & Popups),"String Literal, Contains variable placeholder"
Race Summary,Race Summary Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
Please review your race details before creating,Race Summary Dialog (Dialogs & Popups),Text Widget
Cancel,Race Summary Dialog (Dialogs & Popups); Health Permission Handler Dialog (Dialogs & Popups); Logout Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
Create,Race Summary Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
$label:,Race Summary Dialog (Dialogs & Popups),"Text Widget, Contains variable placeholder, Likely button label - keep concise"
Race Title,Race Summary Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Type,Race Summary Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Solo,Race Summary Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Participants,Race Summary Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Min. Participants,Race Summary Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Duration,Race Summary Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Schedule,Race Summary Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Gender Preference,Race Summary Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Health Connect Required,Health Permission Handler Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
Install,Health Permission Handler Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
Enable in Settings,Health Permission Handler Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
You\,Health Permission Handler Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
For Samsung devices:,Health Permission Handler Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
1. Connect Samsung Health to Health Connect,Health Permission Handler Dialog (Dialogs & Popups),Text Widget
2. Open Health Connect settings,Health Permission Handler Dialog (Dialogs & Popups),Text Widget
3. Enable StepzSync permissions,Health Permission Handler Dialog (Dialogs & Popups),Text Widget
1. Open Health Connect app,Health Permission Handler Dialog (Dialogs & Popups),Text Widget
2. Go to App permissions,Health Permission Handler Dialog (Dialogs & Popups),Text Widget
3. Find StepzSync,Health Permission Handler Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
4. Enable all data types,Health Permission Handler Dialog (Dialogs & Popups),Text Widget
Open Samsung Health,Health Permission Handler Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
Open Settings,Health Permission Handler Dialog (Dialogs & Popups); Pedometer Permission Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
Setup Instructions,Health Permission Handler Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
Close,Health Permission Handler Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
Unknown error occurred,Health Permission Handler Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise, Error message"
", style: Get.textTheme.bodyMedium, ), const SizedBox(height: 16), if (validation.hasSamsungHealth) ...[ Text(",Health Permission Handler Dialog (Dialogs & Popups),String Literal
", style: Get.textTheme.titleSmall?.copyWith( fontWeight: FontWeight.bold, ), ), const SizedBox(height: 8), const Text(",Health Permission Handler Dialog (Dialogs & Popups),String Literal
"), const Text(",Health Permission Handler Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
"), ] else ...[ const Text(",Health Permission Handler Dialog (Dialogs & Popups),String Literal
"), ], ], ), actions: [ TextButton( onPressed: () => Get.back(), child: const Text(",Health Permission Handler Dialog (Dialogs & Popups),String Literal
", icon: const Icon(Icons.settings), snackPosition: SnackPosition.BOTTOM, duration: const Duration(seconds: 4), mainButton: TextButton( onPressed: () => _helper.openHealthSettings(), child: const Text(",Health Permission Handler Dialog (Dialogs & Popups),String Literal
", validation.hasSamsungHealth ?",Health Permission Handler Dialog (Dialogs & Popups),"String Literal, Question, Likely button label - keep concise"
", icon: const Icon(Icons.block), snackPosition: SnackPosition.BOTTOM, duration: const Duration(seconds: 4), mainButton: validation.hasSamsungHealth ? TextButton( onPressed: () => _helper.openSamsungHealthApp(), child: const Text(",Health Permission Handler Dialog (Dialogs & Popups),String Literal
Continue Anyway,Health Sync Dialog (Dialogs & Popups),"Text Widget, Likely button label - keep concise"
dart:ui,Health Sync Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Connecting,Health Sync Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Syncing Data,Health Sync Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Updating Stats,Health Sync Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Sync Complete!,Health Sync Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise, Success message"
Sync Failed,Health Sync Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise, Error message"
Permission Required,Health Sync Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Not Available,Health Sync Dialog (Dialogs & Popups),"String Literal, Likely button label - keep concise"
Fetching your fitness data from Health Connect...,Health Sync Dialog (Dialogs & Popups),String Literal
