English Text,Screen/Context,Notes
Recent,Chat List Screen (Social Features),"Text Widget, Likely button label - keep concise"
Friends,Chat List Screen (Social Features); Friends Screen (Social Features),"Text Widget, Likely button label - keep concise"
Tap to start chatting,Chat List Screen (Social Features),Text Widget
Loading messages...,Chat List Screen (Social Features); Individual Chat Screen (Social Features),"Text Widget, Likely button label - keep concise"
No Messages Yet,Chat List Screen (Social Features); Race Chat Bottom Sheet (Social Features),"Text Widget, Likely button label - keep concise"
Start a conversation with your friends! Switch to the Friends tab to begin chatting.,Chat List Screen (Social Features),Text Widget
View Friends,Chat List Screen (Social Features),"Text Widget, Likely button label - keep concise"
No Friends Yet,Chat List Screen (Social Features); Friends List Tab (Social Features),"Text Widget, Likely button label - keep concise"
Add friends to start chatting! Go to the Friends screen to connect with people.,Chat List Screen (Social Features),Text Widget
Find Friends,Chat List Screen (Social Features),"Text Widget, Likely button label - keep concise"
Messages,Chat List Screen (Social Features),"AppBar Title, Likely button label - keep concise"
Navigation,Chat List Screen (Social Features),"String Literal, Likely button label - keep concise"
Go to Friends tab to add friends,Chat List Screen (Social Features),String Literal
Yesterday,Chat List Screen (Social Features); Individual Chat Screen (Social Features); Friends List Tab (Social Features); Friend Requests Tab (Social Features),"String Literal, Likely button label - keep concise"
Active now,Individual Chat Screen (Social Features),"Text Widget, Likely button label - keep concise"
Delete Chat,Individual Chat Screen (Social Features),"Text Widget, Likely button label - keep concise"
Replying to ${replyToMessage!.senderName},Individual Chat Screen (Social Features); Race Chat Bottom Sheet (Social Features),"Text Widget, Contains variable placeholder, Likely button label - keep concise"
Start the conversation,Individual Chat Screen (Social Features),"Text Widget, Likely button label - keep concise"
Say hello to $otherParticipantName!,Individual Chat Screen (Social Features),"Text Widget, Contains variable placeholder"
Reply,Individual Chat Screen (Social Features),"Text Widget, Likely button label - keep concise"
Copy,Individual Chat Screen (Social Features),"Text Widget, Likely button label - keep concise"
Delete,Individual Chat Screen (Social Features),"Text Widget, Likely button label - keep concise"
Delete Message,Individual Chat Screen (Social Features),"Text Widget, Likely button label - keep concise"
Are you sure you want to delete this message?,Individual Chat Screen (Social Features),"Text Widget, Question"
Cancel,Individual Chat Screen (Social Features); Friends Controller (Social Features),"Text Widget, Likely button label - keep concise"
Are you sure you want to delete this entire conversation? This action cannot be undone.,Individual Chat Screen (Social Features),Text Widget
Type a message...,Individual Chat Screen (Social Features); Race Chat Bottom Sheet (Social Features),Form Input
Copied,Individual Chat Screen (Social Features),"Snackbar/Toast, Likely button label - keep concise"
Today,Individual Chat Screen (Social Features); Friends List Tab (Social Features),"String Literal, Likely button label - keep concise"
Message copied to clipboard,Individual Chat Screen (Social Features),String Literal
Friends & Social,Friends Screen (Social Features),"AppBar Title, Likely button label - keep concise"
Search by name or username...,Friends Screen (Social Features),Form Input
Received,Friends Screen (Social Features),"String Literal, Likely button label - keep concise"
Sent,Friends Screen (Social Features),"String Literal, Likely button label - keep concise"
Searching...,User Search Tab (Social Features),"Text Widget, Likely button label - keep concise"
Search for Friends,User Search Tab (Social Features),"Text Widget, Likely button label - keep concise"
Enter a name or username to find people,User Search Tab (Social Features),Text Widget
No Results Found,User Search Tab (Social Features),"Text Widget, Likely button label - keep concise"
No users found for,User Search Tab (Social Features),Text Widget
Decline,User Search Tab (Social Features); Friend Requests Tab (Social Features),"Text Widget, Likely button label - keep concise"
Already Friends,User Search Tab (Social Features),"Text Widget, Likely button label - keep concise"
Blocked,User Search Tab (Social Features),"Text Widget, Likely button label - keep concise"
. Try a different search term.,User Search Tab (Social Features),String Literal
Location not available,User Search Tab (Social Features),"String Literal, Likely button label - keep concise"
Add Friend,User Search Tab (Social Features),"String Literal, Likely button label - keep concise"
Cancelling...,User Search Tab (Social Features),"String Literal, Likely button label - keep concise"
Request Sent,User Search Tab (Social Features),"String Literal, Likely button label - keep concise"
Accept,User Search Tab (Social Features); Friend Requests Tab (Social Features),"String Literal, Likely button label - keep concise"
Start connecting with people! Search for friends using the search bar above.,Friends List Tab (Social Features),Text Widget
Tap search bar to find friends,Friends List Tab (Social Features),Text Widget
Friends since ${_formatDate(friend.createdAt)},Friends List Tab (Social Features),"Text Widget, Contains variable placeholder, Likely button label - keep concise"
Remove Friend,Friends List Tab (Social Features); Friends Controller (Social Features),"Text Widget, Likely button label - keep concise"
remove,Friends List Tab (Social Features); Friends Controller (Social Features),"String Literal, Likely button label - keep concise"
${difference.inDays} days ago,Friends List Tab (Social Features),"String Literal, Contains variable placeholder, Likely button label - keep concise"
1 week ago,Friends List Tab (Social Features),"String Literal, Likely button label - keep concise"
$weeks weeks ago,Friends List Tab (Social Features),"String Literal, Contains variable placeholder, Likely button label - keep concise"
1 month ago,Friends List Tab (Social Features),"String Literal, Likely button label - keep concise"
$months months ago,Friends List Tab (Social Features),"String Literal, Contains variable placeholder, Likely button label - keep concise"
${date.day}/${date.month}/${date.year},Friends List Tab (Social Features); Friend Requests Tab (Social Features),"String Literal, Contains variable placeholder, Likely button label - keep concise"
Waiting for response...,Friend Requests Tab (Social Features),"Text Widget, Likely button label - keep concise"
No Friend Requests,Friend Requests Tab (Social Features),"String Literal, Likely button label - keep concise"
No Sent Requests,Friend Requests Tab (Social Features),"String Literal, Likely button label - keep concise"
You don\,Friend Requests Tab (Social Features),"String Literal, Likely button label - keep concise"
t sent any friend requests yet. Search for people and send them friend requests.,Friend Requests Tab (Social Features),String Literal
Just now,Friend Requests Tab (Social Features),"String Literal, Likely button label - keep concise"
${difference.inHours}h ago,Friend Requests Tab (Social Features),"String Literal, Contains variable placeholder, Likely button label - keep concise"
${difference.inDays}d ago,Friend Requests Tab (Social Features),"String Literal, Contains variable placeholder, Likely button label - keep concise"
$participantCount participant${participantCount != 1 ?,Race Chat Bottom Sheet (Social Features),"Text Widget, Contains variable placeholder, Question"
Start the conversation with your race participants!,Race Chat Bottom Sheet (Social Features),Text Widget
Error initializing race chat: $e,Race Chat Bottom Sheet (Social Features),"String Literal, Contains variable placeholder, Error message"
Race Chat,Race Chat Bottom Sheet (Social Features); Chat Controller (Social Features),"String Literal, Likely button label - keep concise"
", style: GoogleFonts.poppins( fontSize: 16, fontWeight: FontWeight.w600, color: Colors.grey[600], ), ), SizedBox(height: 8), Text(",Race Chat Bottom Sheet (Social Features),String Literal
Replying to:,Race Chat Message Widget (Social Features),"Text Widget, Likely button label - keep concise"
", style: GoogleFonts.poppins( fontSize: 10, fontWeight: FontWeight.w500, color: Colors.grey[600], ), ), SizedBox(height: 2), Text( message.replyToMessage ??",Race Chat Message Widget (Social Features),"String Literal, Question"
).format(timestamp); } else if (difference.inHours > 0) { return DateFormat(,Race Chat Message Widget (Social Features),"String Literal, Contains variable placeholder"
).format(timestamp); } else if (difference.inMinutes > 0) { return,Race Chat Message Widget (Social Features),"String Literal, Contains variable placeholder"
; } else { return,Race Chat Message Widget (Social Features),"String Literal, Contains variable placeholder"
Error,Chat Controller (Social Features); Friends Controller (Social Features),"Snackbar/Toast, Likely button label - keep concise, Error message"
dart:developer,Chat Controller (Social Features); Friend Notification Service (Social Features); Friends Service (Social Features),"String Literal, Likely button label - keep concise"
) .where(,Chat Controller (Social Features); Friend Notification Service (Social Features); Friends Service (Social Features),"String Literal, Likely button label - keep concise"
); Get.snackbar(,Chat Controller (Social Features),"String Literal, Likely button label - keep concise"
Failed to load friends,Chat Controller (Social Features),"String Literal, Error message"
chat_rooms,Chat Controller (Social Features),"String Literal, Likely button label - keep concise"
❌ Error updating race chat rooms: $e,Chat Controller (Social Features),"String Literal, Contains variable placeholder, Error message"
Failed to create chat room,Chat Controller (Social Features),"String Literal, Error message"
", isEqualTo: chatId) .orderBy(",Chat Controller (Social Features),String Literal
) .doc(chatRoom.id!) .update({,Chat Controller (Social Features),"String Literal, Contains variable placeholder, Likely button label - keep concise"
": messageText.trim(),",Chat Controller (Social Features),"String Literal, Likely button label - keep concise"
": currentUser,",Chat Controller (Social Features),"String Literal, Likely button label - keep concise"
": FieldValue.increment(1), }); // ✅ Notification sent automatically by Cloud Function (onChatMessageCreated) // See: functions/notifications/triggers/chatTriggers.js:26-52 } catch (e) { Get.snackbar(",Chat Controller (Social Features),"String Literal, Contains variable placeholder"
Failed to send message,Chat Controller (Social Features),"String Literal, Error message"
chat_messages,Chat Controller (Social Features),"String Literal, Likely button label - keep concise"
Failed to delete message,Chat Controller (Social Features),"String Literal, Error message"
Failed to delete chat,Chat Controller (Social Features),"String Literal, Error message"
race_${race.id},Chat Controller (Social Features),"String Literal, Contains variable placeholder, Likely button label - keep concise"
Organizer,Chat Controller (Social Features),"String Literal, Likely button label - keep concise"
Participant,Chat Controller (Social Features),"String Literal, Likely button label - keep concise"
❌ Error creating race chat room: $e,Chat Controller (Social Features),"String Literal, Contains variable placeholder, Error message"
Failed to create race chat room,Chat Controller (Social Features),"String Literal, Error message"
", isEqualTo: raceChatId) .orderBy(",Chat Controller (Social Features),String Literal
) .doc(raceChatRoom.id!) .update({,Chat Controller (Social Features),"String Literal, Contains variable placeholder, Likely button label - keep concise"
": updatedUnreadCounts, }); // ✅ Notification sent automatically by Cloud Function (onRaceChatMessageCreated) // See: functions/notifications/triggers/chatTriggers.js:60-116 } catch (e) { log(",Chat Controller (Social Features),"String Literal, Contains variable placeholder"
