English Text,Screen/Context,Notes
Hurray!,Race Winner Screens Widgets (Race Management),"Text Widget, Likely button label - keep concise"
You,Race Winner Screens Widgets (Race Management); Race Map Screen (Race Management),"Text Widget, Likely button label - keep concise"
Watch others racing and see live updates!,Race Winner Screens Widgets (Race Management),Text Widget
Loading ad...,Race Winner Screens Widgets (Race Management),"Text Widget, Likely button label - keep concise"
🏆 Participant Rankings,Race Winner Screens Widgets (Race Management),"Text Widget, Likely button label - keep concise"
${item.rank},Race Winner Screens Widgets (Race Management),"Text Widget, Contains variable placeholder, Likely button label - keep concise"
Race Complete!,Race Winner Screens Widgets (Race Management),"Text Widget, Likely button label - keep concise, Success message"
Top 3 Finishers,Race Winner Screens Widgets (Race Management),"Text Widget, Likely button label - keep concise"
#${participant.rank},Race Winner Screens Widgets (Race Management),"Text Widget, Contains variable placeholder, Likely button label - keep concise"
No participants completed the race yet.,Race Winner Screens Widgets (Race Management),"Text Widget, Success message"
📊 Your Performance,Race Winner Screens Widgets (Race Management),"Text Widget, Likely button label - keep concise"
Steps: ${sortedParticipants[0].steps},Race Winner Screens Widgets (Race Management),"Text Widget, Contains variable placeholder, Likely button label - keep concise"
Calories: ${sortedParticipants[0].calories},Race Winner Screens Widgets (Race Management),"Text Widget, Contains variable placeholder, Likely button label - keep concise"
All Participants,Race Winner Screens Widgets (Race Management),"Text Widget, Likely button label - keep concise"
${participant.rank},Race Winner Screens Widgets (Race Management),"Text Widget, Contains variable placeholder, Likely button label - keep concise"
Race Completed,Race Winner Screens Widgets (Race Management); Race Dnf Screen Widget (Race Management),"AppBar Title, Likely button label - keep concise, Success message"
Race Winners,Race Winner Screens Widgets (Race Management),"AppBar Title, Likely button label - keep concise"
dart:math,Race Winner Screens Widgets (Race Management); Create Race Controller (Race Management); Quick Race Controller (Race Management),"String Literal, Likely button label - keep concise"
", style: GoogleFonts.poppins( fontSize: 16, fontWeight: FontWeight.w500, color: AppColors.iconGrey, ), ), SizedBox(height: 32), // Race Route Card Container( padding: EdgeInsets.all(16), decoration: BoxDecoration( color: Colors.white, borderRadius: BorderRadius.circular(16), boxShadow: [ BoxShadow( color: Colors.black.withOpacity(0.05), blurRadius: 10, offset: Offset(0, 4), ), ], ), child: Column( children: [ Row( mainAxisAlignment: MainAxisAlignment.center, children: [ SvgPicture.asset( IconPaths.radioIcon, color: AppColors.appColor, width: 20, height: 20, ), SizedBox(width: 8), Expanded( child: VerticalDashedDivider( isHorizontal: true, dashHeight: 5, dashSpacing: 2, color: AppColors.iconGrey, width: 2, ), ), SizedBox(width: 8), SvgPicture.asset( IconPaths.locationIcon, color: AppColors.neonYellow, width: 20, height: 20, ), ], ), SizedBox(height: 12), Row( mainAxisAlignment: MainAxisAlignment.spaceBetween, children: [ Expanded( child: Text(",Race Winner Screens Widgets (Race Management),String Literal
", style: GoogleFonts.poppins( color: Colors.black, fontWeight: FontWeight.w500, fontSize: 13, ), textAlign: TextAlign.left, maxLines: 2, overflow: TextOverflow.ellipsis, ), ), SizedBox(width: 16), Expanded( child: Text(",Race Winner Screens Widgets (Race Management),String Literal
", style: GoogleFonts.poppins( color: Colors.black, fontWeight: FontWeight.w500, fontSize: 13, ), textAlign: TextAlign.right, maxLines: 2, overflow: TextOverflow.ellipsis, ), ), ], ), ], ), ), SizedBox(height: 32), // Info Text Container( padding: EdgeInsets.all(16), decoration: BoxDecoration( color: AppColors.appColor.withOpacity(0.05), borderRadius: BorderRadius.circular(12), ), child: Row( children: [ Icon( Icons.info_outline, color: AppColors.appColor, size: 20, ), SizedBox(width: 12), Expanded( child: Text(",Race Winner Screens Widgets (Race Management),String Literal
", style: GoogleFonts.poppins( fontSize: 13, fontWeight: FontWeight.w500, color: AppColors.buttonBlack, ), ), ), ], ), ), SizedBox(height: 24), // View Results Button - Always enabled CustomButton( btnTitle:",Race Winner Screens Widgets (Race Management),String Literal
"), title: Text( displayName, style: GoogleFonts.poppins(), ), subtitle: Text(",Race Winner Screens Widgets (Race Management),String Literal
