English Text,Screen/Context,Notes
No Joined Races,Active Races Screen (Active Races),"Text Widget, Likely button label - keep concise"
You haven\,Active Races Screen (Active Races),"Text Widget, Likely button label - keep concise"
Browse Races,Active Races Screen (Active Races),"Text Widget, Likely button label - keep concise"
My Races,Active Races Screen (Active Races),"AppBar Title, Likely button label - keep concise"
", userName:",Active Races Screen (Active Races); Race Map Controller (Active Races),"String Literal, Likely button label - keep concise"
", style: GoogleFonts.poppins( fontSize: 20, fontWeight: FontWeight.w600, color: Colors.black87, ), ), SizedBox(height: 12), Padding( padding: EdgeInsets.symmetric(horizontal: 40), child: Text(",Active Races Screen (Active Races),String Literal
t joined any races yet. Browse available races and join one to see it here!,Active Races Screen (Active Races),String Literal
Start,Race Map Controller (Active Races),"AppBar Title, Likely button label - keep concise"
Finish,Race Map Controller (Active Races),"AppBar Title, Likely button label - keep concise"
$percentage% Milestone,Race Map Controller (Active Races),"AppBar Title, Contains variable placeholder, Likely button label - keep concise"
Race Started! 🏁,Race Map Controller (Active Races),"AppBar Title, Likely button label - keep concise"
Congratulations! 🏆,Race Map Controller (Active Races),"AppBar Title, Likely button label - keep concise"
First Finisher! 🏆,Race Map Controller (Active Races),"AppBar Title, Likely button label - keep concise"
Race Finished! $rankEmoji,Race Map Controller (Active Races),"AppBar Title, Contains variable placeholder, Likely button label - keep concise"
Position Change! $icon,Race Map Controller (Active Races),"AppBar Title, Contains variable placeholder, Likely button label - keep concise"
dart:developer,Race Map Controller (Active Races),"String Literal, Likely button label - keep concise"
dart:math,Race Map Controller (Active Races),"String Literal, Likely button label - keep concise"
dart:ui,Race Map Controller (Active Races),"String Literal, Likely button label - keep concise"
dart:typed_data,Race Map Controller (Active Races),"String Literal, Likely button label - keep concise"
); } } // Don,Race Map Controller (Active Races),String Literal
; return formatted; } else { return,Race Map Controller (Active Races),"String Literal, Contains variable placeholder"
