English Text,Screen/Context,Notes
StepzSync Admin,Admin Login Screen (Authentication); Simple Admin Login (Authentication),"Text Widget, Likely button label - keep concise"
Sign in to access the admin panel,Admin Login Screen (Authentication),Text Widget
Sign In,Admin Login Screen (Authentication); Simple Admin Login (Authentication); Login Controller (Authentication),"Text Widget, Likely button label - keep concise"
Go to Main App,Admin Login Screen (Authentication),Text Widget
Email,Admin Login Screen (Authentication); Login Controller (Authentication); Admin Auth Service (Authentication),Form Input
Password,Admin Login Screen (Authentication); Simple Admin Login (Authentication),Form Input
An error occurred,Admin Login Screen (Authentication); Simple Admin Login (Authentication),"String Literal, Likely button label - keep concise, Error message"
user-not-found,Admin Login Screen (Authentication); Simple Admin Login (Authentication); Login Controller (Authentication); Firebase Auth Service (Authentication),"String Literal, Likely button label - keep concise"
No user found with this email,Admin Login Screen (Authentication),String Literal
wrong-password,Admin Login Screen (Authentication); Simple Admin Login (Authentication); Login Controller (Authentication); Firebase Auth Service (Authentication),"String Literal, Likely button label - keep concise"
Wrong password,Admin Login Screen (Authentication),"String Literal, Likely button label - keep concise"
invalid-email,Admin Login Screen (Authentication); Simple Admin Login (Authentication); Login Controller (Authentication); Firebase Auth Service (Authentication),"String Literal, Likely button label - keep concise, Error message"
Invalid email address,Admin Login Screen (Authentication); Simple Admin Login (Authentication),"String Literal, Likely button label - keep concise, Error message"
user-disabled,Admin Login Screen (Authentication); Simple Admin Login (Authentication); Login Controller (Authentication); Firebase Auth Service (Authentication),"String Literal, Likely button label - keep concise"
This user has been disabled,Admin Login Screen (Authentication),String Literal
Please enter your email,Admin Login Screen (Authentication); Simple Admin Login (Authentication),String Literal
)) { return,Admin Login Screen (Authentication); Simple Admin Login (Authentication),"String Literal, Contains variable placeholder, Likely button label - keep concise"
; } if (value.length < 6) { return,Admin Login Screen (Authentication); Simple Admin Login (Authentication),"String Literal, Contains variable placeholder"
", style: TextStyle(fontSize: 16), ), ), ), const SizedBox(height: 16), TextButton( onPressed: () { // Navigate to main app Navigator.of(context).pushReplacementNamed(",Admin Login Screen (Authentication),"String Literal, Contains variable placeholder"
"); }, child: const Text(",Admin Login Screen (Authentication),String Literal
Sign in to access the admin dashboard,Simple Admin Login (Authentication),Text Widget
Contact system administrator to reset password,Simple Admin Login (Authentication),Text Widget
Forgot Password?,Simple Admin Login (Authentication); Login Screen (Authentication),"Text Widget, Question, Likely button label - keep concise"
Email Address,Simple Admin Login (Authentication); Login Screen (Authentication),Form Input
Enter your password,Simple Admin Login (Authentication); Login Screen (Authentication),Form Input
No admin account found with this email,Simple Admin Login (Authentication),String Literal
